sortid,genelist,drdist,FC,pValues,pAdjusted
395,BHLHE40,1.31269800669589e-18,0.000124714916148955,0.991089742932744,0.999999999923338
2793,RTN3,1.30082565875355e-18,0.000123586965264161,0.991130126009933,0.999999999923338
321,ATP11B,1.29455297955052e-18,0.000122991019618746,0.991151536574052,0.999999999923338
670,CHKA,1.29439137722001e-18,0.000122975666337948,0.99115208885671,0.999999999923338
1526,IFRD1,1.27668740329913e-18,0.000121293672755431,0.991212803153947,0.999999999923338
419,BRWD1,1.26866778174015e-18,0.000120531756133959,0.991240444285083,0.999999999923338
3063,SOCS4,1.26681511082702e-18,0.000120355740251857,0.991246842276691,0.999999999923338
1301,GMFB,1.25271059355868e-18,0.000119015718647901,0.991295704856463,0.999999999923338
2983,SLC38A2,1.24233318149445e-18,0.000118029796471717,0.991331831451405,0.999999999923338
1701,LCORL,1.24199344772668e-18,0.000117997519536623,0.991333016703123,0.999999999923338
2854,SDHD,1.24066888984317e-18,0.000117871677854428,0.991337639325001,0.999999999923338
1314,GNL1,1.23903495084632e-18,0.000117716442938289,0.991343345068262,0.999999999923338
3336,TMEM134,1.22830910444465e-18,0.000116697417215856,0.991380893702231,0.999999999923338
2170,NSUN5,1.22809163911963e-18,0.000116676756584365,0.991381656688849,0.999999999923338
70,AC139495.2,1.22504053769662e-18,0.000116386881947402,0.991392368743992,0.999999999923338
1281,GGA2,1.22073431332958e-18,0.000115977762402682,0.991407510115191,0.999999999923338
2795,RUFY2,1.21977673880219e-18,0.000115886786545112,0.9914108807281,0.999999999923338
2704,RNF24,1.21395147575496e-18,0.000115333348367576,0.991431413924429,0.999999999923338
2091,NFATC2IP,1.20639620239138e-18,0.000114615547868744,0.991458118686778,0.999999999923338
735,COPG1,1.20361537854788e-18,0.000114351351373665,0.991467968794423,0.999999999923338
3273,TERF2IP,1.19177761132649e-18,0.000113226685884058,0.991510027884798,0.999999999923338
2233,ORMDL2,1.18101779118558e-18,0.000112204432433678,0.991548438685153,0.999999999923338
1851,MCC,1.17183249238124e-18,0.000111331768832193,0.991581367382454,0.999999999923338
